,$p_{ij}$,test,power
0,0.001,t-test,0.003
1,0.01108080808080808,t-test,0.002
2,0.021161616161616163,t-test,0.003
3,0.031242424242424245,t-test,0.001
4,0.041323232323232324,t-test,0.009
5,0.0514040404040404,t-test,0.008
6,0.06148484848484849,t-test,0.01
7,0.07156565656565657,t-test,0.012
8,0.08164646464646465,t-test,0.017
9,0.09172727272727273,t-test,0.016
10,0.1018080808080808,t-test,0.018
11,0.11188888888888888,t-test,0.027
12,0.12196969696969698,t-test,0.021
13,0.13205050505050506,t-test,0.022
14,0.14213131313131314,t-test,0.02
15,0.15221212121212122,t-test,0.035
16,0.1622929292929293,t-test,0.031
17,0.17237373737373737,t-test,0.044
18,0.18245454545454545,t-test,0.03
19,0.19253535353535353,t-test,0.038
20,0.2026161616161616,t-test,0.046
21,0.2126969696969697,t-test,0.036
22,0.22277777777777777,t-test,0.042
23,0.23285858585858585,t-test,0.038
24,0.24293939393939395,t-test,0.041
25,0.25302020202020203,t-test,0.043
26,0.2631010101010101,t-test,0.031
27,0.2731818181818182,t-test,0.045
28,0.28326262626262627,t-test,0.051
29,0.29334343434343435,t-test,0.043
30,0.30342424242424243,t-test,0.04
31,0.3135050505050505,t-test,0.043
32,0.3235858585858586,t-test,0.043
33,0.33366666666666667,t-test,0.045
34,0.34374747474747475,t-test,0.041
35,0.3538282828282828,t-test,0.045
36,0.3639090909090909,t-test,0.053
37,0.373989898989899,t-test,0.057
38,0.38407070707070706,t-test,0.056
39,0.39415151515151514,t-test,0.038
40,0.4042323232323232,t-test,0.05
41,0.4143131313131313,t-test,0.05
42,0.4243939393939394,t-test,0.04
43,0.43447474747474746,t-test,0.053
44,0.44455555555555554,t-test,0.057
45,0.4546363636363636,t-test,0.058
46,0.4647171717171717,t-test,0.048
47,0.4747979797979798,t-test,0.061
48,0.4848787878787879,t-test,0.05
49,0.494959595959596,t-test,0.039
50,0.5050404040404041,t-test,0.036
51,0.5151212121212121,t-test,0.047
52,0.5252020202020202,t-test,0.038
53,0.5352828282828282,t-test,0.037
54,0.5453636363636364,t-test,0.044
55,0.5554444444444444,t-test,0.052
56,0.5655252525252525,t-test,0.045
57,0.5756060606060606,t-test,0.047
58,0.5856868686868687,t-test,0.054
59,0.5957676767676767,t-test,0.041
60,0.6058484848484849,t-test,0.052
61,0.6159292929292929,t-test,0.047
62,0.626010101010101,t-test,0.058
63,0.636090909090909,t-test,0.047
64,0.6461717171717172,t-test,0.043
65,0.6562525252525253,t-test,0.047
66,0.6663333333333333,t-test,0.051
67,0.6764141414141415,t-test,0.042
68,0.6864949494949495,t-test,0.047
69,0.6965757575757576,t-test,0.043
70,0.7066565656565656,t-test,0.038
71,0.7167373737373738,t-test,0.035
72,0.7268181818181818,t-test,0.038
73,0.7368989898989899,t-test,0.052
74,0.746979797979798,t-test,0.037
75,0.7570606060606061,t-test,0.033
76,0.7671414141414141,t-test,0.042
77,0.7772222222222223,t-test,0.048
78,0.7873030303030303,t-test,0.038
79,0.7973838383838384,t-test,0.032
80,0.8074646464646464,t-test,0.036
81,0.8175454545454546,t-test,0.048
82,0.8276262626262626,t-test,0.041
83,0.8377070707070707,t-test,0.031
84,0.8477878787878788,t-test,0.027
85,0.8578686868686869,t-test,0.029
86,0.8679494949494949,t-test,0.024
87,0.878030303030303,t-test,0.029
88,0.8881111111111111,t-test,0.03
89,0.8981919191919192,t-test,0.015
90,0.9082727272727272,t-test,0.02
91,0.9183535353535354,t-test,0.012
92,0.9284343434343434,t-test,0.011
93,0.9385151515151515,t-test,0.018
94,0.9485959595959595,t-test,0.006
95,0.9586767676767677,t-test,0.007
96,0.9687575757575758,t-test,0.005
97,0.9788383838383838,t-test,0.004
98,0.988919191919192,t-test,0.002
99,0.999,t-test,0.001
100,0.001,mann-whitney,0.011
101,0.01108080808080808,mann-whitney,0.022
102,0.021161616161616163,mann-whitney,0.026
103,0.031242424242424245,mann-whitney,0.037
104,0.041323232323232324,mann-whitney,0.051
105,0.0514040404040404,mann-whitney,0.047
106,0.06148484848484849,mann-whitney,0.051
107,0.07156565656565657,mann-whitney,0.063
108,0.08164646464646465,mann-whitney,0.085
109,0.09172727272727273,mann-whitney,0.07
110,0.1018080808080808,mann-whitney,0.083
111,0.11188888888888888,mann-whitney,0.09
112,0.12196969696969698,mann-whitney,0.081
113,0.13205050505050506,mann-whitney,0.091
114,0.14213131313131314,mann-whitney,0.086
115,0.15221212121212122,mann-whitney,0.117
116,0.1622929292929293,mann-whitney,0.096
117,0.17237373737373737,mann-whitney,0.112
118,0.18245454545454545,mann-whitney,0.11
119,0.19253535353535353,mann-whitney,0.115
120,0.2026161616161616,mann-whitney,0.094
121,0.2126969696969697,mann-whitney,0.089
122,0.22277777777777777,mann-whitney,0.108
123,0.23285858585858585,mann-whitney,0.092
124,0.24293939393939395,mann-whitney,0.104
125,0.25302020202020203,mann-whitney,0.111
126,0.2631010101010101,mann-whitney,0.086
127,0.2731818181818182,mann-whitney,0.116
128,0.28326262626262627,mann-whitney,0.115
129,0.29334343434343435,mann-whitney,0.128
130,0.30342424242424243,mann-whitney,0.123
131,0.3135050505050505,mann-whitney,0.112
132,0.3235858585858586,mann-whitney,0.111
133,0.33366666666666667,mann-whitney,0.115
134,0.34374747474747475,mann-whitney,0.124
135,0.3538282828282828,mann-whitney,0.113
136,0.3639090909090909,mann-whitney,0.132
137,0.373989898989899,mann-whitney,0.128
138,0.38407070707070706,mann-whitney,0.131
139,0.39415151515151514,mann-whitney,0.124
140,0.4042323232323232,mann-whitney,0.124
141,0.4143131313131313,mann-whitney,0.114
142,0.4243939393939394,mann-whitney,0.12
143,0.43447474747474746,mann-whitney,0.126
144,0.44455555555555554,mann-whitney,0.141
145,0.4546363636363636,mann-whitney,0.127
146,0.4647171717171717,mann-whitney,0.135
147,0.4747979797979798,mann-whitney,0.134
148,0.4848787878787879,mann-whitney,0.133
149,0.494959595959596,mann-whitney,0.138
150,0.5050404040404041,mann-whitney,0.116
151,0.5151212121212121,mann-whitney,0.124
152,0.5252020202020202,mann-whitney,0.117
