p,delta,m,precision_at_1,precision_at_2,precision_at_3,precision_at_4,precision_at_5,precision_at_6,precision_at_7,precision_at_8,precision_at_9,precision_at_10,recall_at_1,recall_at_2,recall_at_3,recall_at_4,recall_at_5,recall_at_6,recall_at_7,recall_at_8,recall_at_9,recall_at_10
0.5,0.0,10.0,0.06,0.06,0.04666666666666666,0.045,0.04200000000000001,0.04333333333333332,0.045714285714285714,0.045,0.04444444444444444,0.04200000000000001,0.006,0.012,0.014000000000000002,0.018000000000000002,0.021000000000000005,0.02600000000000001,0.032000000000000015,0.03600000000000002,0.040000000000000015,0.04200000000000001
0.5,0.005050505050505051,10.0,0.09,0.06,0.05333333333333332,0.045,0.04600000000000001,0.043333333333333314,0.0457142857142857,0.04625,0.04777777777777778,0.05,0.009,0.012,0.016000000000000004,0.018000000000000006,0.023000000000000007,0.02600000000000001,0.03200000000000002,0.03700000000000002,0.043000000000000024,0.05
0.5,0.010101010101010102,10.0,0.06,0.06,0.05333333333333333,0.06,0.06000000000000003,0.05499999999999999,0.06000000000000001,0.055,0.05999999999999996,0.06299999999999997,0.006,0.012,0.016,0.024000000000000007,0.030000000000000016,0.033000000000000015,0.042000000000000016,0.04400000000000001,0.05399999999999999,0.06299999999999997
0.5,0.015151515151515152,10.0,0.04,0.05,0.05666666666666665,0.065,0.06200000000000003,0.06500000000000002,0.06714285714285716,0.06375,0.0633333333333333,0.06399999999999997,0.004,0.009999999999999998,0.017000000000000005,0.02600000000000001,0.031000000000000014,0.039000000000000014,0.047,0.05099999999999999,0.056999999999999974,0.06399999999999997
0.5,0.020202020202020204,10.0,0.06,0.045,0.05333333333333332,0.06,0.05400000000000002,0.05,0.05000000000000001,0.05125,0.0522222222222222,0.051,0.006,0.009,0.016000000000000004,0.024000000000000007,0.02700000000000001,0.030000000000000013,0.03500000000000002,0.041000000000000016,0.047,0.051
0.5,0.025252525252525256,10.0,0.08,0.075,0.05666666666666665,0.0625,0.06200000000000003,0.05500000000000001,0.052857142857142866,0.05,0.051111111111111086,0.04999999999999999,0.008,0.015000000000000003,0.017000000000000005,0.02500000000000001,0.031000000000000014,0.033000000000000015,0.03700000000000002,0.040000000000000015,0.046000000000000006,0.04999999999999999
0.5,0.030303030303030304,10.0,0.05,0.045,0.05666666666666665,0.055,0.05200000000000002,0.056666666666666685,0.060000000000000026,0.0625,0.061111111111111074,0.05599999999999998,0.005,0.009,0.017000000000000005,0.022000000000000006,0.02600000000000001,0.034000000000000016,0.042000000000000016,0.04999999999999998,0.05499999999999998,0.05599999999999998
0.5,0.03535353535353536,10.0,0.07,0.045,0.04333333333333333,0.05,0.05000000000000002,0.04499999999999999,0.05,0.05,0.047777777777777766,0.05000000000000001,0.006999999999999999,0.009,0.013000000000000001,0.020000000000000004,0.02500000000000001,0.02700000000000001,0.03500000000000002,0.040000000000000015,0.04300000000000001,0.05000000000000001
0.5,0.04040404040404041,10.0,0.03,0.035,0.03,0.0475,0.05400000000000002,0.05833333333333334,0.05857142857142859,0.05875,0.05888888888888887,0.060999999999999985,0.0030000000000000005,0.006999999999999999,0.009,0.019000000000000006,0.02700000000000001,0.03500000000000002,0.04100000000000002,0.047,0.053000000000000005,0.060999999999999985
0.5,0.045454545454545456,10.0,0.06,0.065,0.06666666666666664,0.065,0.06600000000000004,0.0666666666666667,0.060000000000000026,0.06125,0.057777777777777733,0.06099999999999998,0.006,0.013000000000000001,0.020000000000000007,0.026000000000000013,0.03300000000000002,0.040000000000000015,0.04200000000000001,0.04899999999999999,0.05199999999999998,0.06099999999999998
