p,delta,m,omni_power_1,omni_power_2,omni_power_3,mase_power_1,mase_power_2,mase_power_3
0.5,0.5,250.0,1.0,0.02,0.0,1.0,0.02,0.0
0.5,0.49,250.0,1.0,0.06,0.02,1.0,0.06,0.02
0.5,0.48,250.0,1.0,0.04,0.04,1.0,0.04,0.04
0.5,0.47000000000000003,250.0,1.0,0.06,0.04,1.0,0.06,0.04
0.5,0.46,250.0,1.0,0.06,0.02,1.0,0.06,0.02
0.5,0.45,250.0,1.0,0.04,0.04,1.0,0.04,0.04
0.5,0.44,250.0,1.0,0.08,0.08,1.0,0.08,0.08
0.5,0.43,250.0,1.0,0.04,0.06,1.0,0.04,0.06
0.5,0.42,250.0,1.0,0.06,0.06,1.0,0.06,0.06
0.5,0.41000000000000003,250.0,1.0,0.06,0.08,1.0,0.06,0.08
0.5,0.4,250.0,1.0,0.08,0.08,1.0,0.08,0.08
0.5,0.39,250.0,1.0,0.0,0.14,1.0,0.0,0.14
0.5,0.38,250.0,1.0,0.06,0.04,1.0,0.06,0.04
0.5,0.37,250.0,1.0,0.04,0.06,1.0,0.02,0.06
0.5,0.36,250.0,1.0,0.04,0.1,1.0,0.06,0.12
0.5,0.35000000000000003,250.0,1.0,0.02,0.02,1.0,0.12,0.12
0.5,0.34,250.0,1.0,0.04,0.04,1.0,0.18,0.18
0.5,0.33,250.0,1.0,0.08,0.0,1.0,0.26,0.18
0.5,0.32,250.0,1.0,0.0,0.06,1.0,0.28,0.3
0.5,0.31,250.0,1.0,0.08,0.06,1.0,0.32,0.2
0.5,0.3,250.0,1.0,0.02,0.08,1.0,0.38,0.38
0.5,0.29,250.0,1.0,0.02,0.1,1.0,0.48,0.42
0.5,0.28,250.0,1.0,0.04,0.04,1.0,0.44,0.34
0.5,0.27,250.0,1.0,0.02,0.1,1.0,0.56,0.5
0.5,0.26,250.0,1.0,0.04,0.06,1.0,0.6,0.48
0.5,0.25,250.0,1.0,0.02,0.02,1.0,0.7,0.56
0.5,0.5,245.0,1.0,0.08,0.06,1.0,0.08,0.06
0.5,0.49,245.0,1.0,0.04,0.04,1.0,0.04,0.04
0.5,0.48,245.0,1.0,0.02,0.04,1.0,0.02,0.04
0.5,0.47000000000000003,245.0,1.0,0.02,0.06,1.0,0.02,0.06
0.5,0.46,245.0,1.0,0.04,0.02,1.0,0.04,0.02
0.5,0.45,245.0,1.0,0.1,0.04,1.0,0.1,0.04
0.5,0.44,245.0,1.0,0.02,0.0,1.0,0.02,0.0
0.5,0.43,245.0,1.0,0.0,0.1,1.0,0.0,0.1
0.5,0.42,245.0,1.0,0.04,0.06,1.0,0.04,0.06
0.5,0.41000000000000003,245.0,1.0,0.06,0.06,1.0,0.06,0.06
0.5,0.4,245.0,1.0,0.06,0.06,1.0,0.06,0.06
0.5,0.39,245.0,1.0,0.14,0.0,1.0,0.16,0.02
0.5,0.38,245.0,1.0,0.02,0.1,1.0,0.02,0.1
0.5,0.37,245.0,1.0,0.02,0.02,1.0,0.04,0.04
0.5,0.36,245.0,1.0,0.06,0.0,1.0,0.08,0.02
0.5,0.35000000000000003,245.0,1.0,0.02,0.1,1.0,0.16,0.18
0.5,0.34,245.0,1.0,0.0,0.06,1.0,0.2,0.22
0.5,0.33,245.0,1.0,0.06,0.06,1.0,0.24,0.2
0.5,0.32,245.0,1.0,0.0,0.08,1.0,0.28,0.24
0.5,0.31,245.0,1.0,0.02,0.06,1.0,0.24,0.26
0.5,0.3,245.0,1.0,0.0,0.08,1.0,0.3,0.26
0.5,0.29,245.0,1.0,0.02,0.0,1.0,0.4,0.24
0.5,0.28,245.0,1.0,0.1,0.06,1.0,0.46,0.36
0.5,0.27,245.0,1.0,0.02,0.0,1.0,0.64,0.52
0.5,0.26,245.0,1.0,0.08,0.0,1.0,0.48,0.34
0.5,0.25,245.0,1.0,0.06,0.04,1.0,0.64,0.58
0.5,0.5,240.0,1.0,0.04,0.02,1.0,0.04,0.02
0.5,0.49,240.0,1.0,0.02,0.08,1.0,0.02,0.08
0.5,0.48,240.0,1.0,0.08,0.02,1.0,0.08,0.02
0.5,0.47000000000000003,240.0,1.0,0.08,0.04,1.0,0.08,0.04
0.5,0.46,240.0,1.0,0.0,0.04,1.0,0.0,0.04
0.5,0.45,240.0,1.0,0.08,0.1,1.0,0.08,0.1
0.5,0.44,240.0,1.0,0.1,0.04,1.0,0.1,0.04
0.5,0.43,240.0,1.0,0.06,0.04,1.0,0.06,0.04
0.5,0.42,240.0,1.0,0.08,0.06,1.0,0.08,0.06
0.5,0.41000000000000003,240.0,1.0,0.06,0.06,1.0,0.06,0.06
0.5,0.4,240.0,1.0,0.02,0.02,1.0,0.02,0.02
0.5,0.39,240.0,1.0,0.06,0.04,1.0,0.06,0.04
0.5,0.38,240.0,1.0,0.02,0.02,1.0,0.02,0.02
0.5,0.37,240.0,1.0,0.1,0.0,1.0,0.14,0.04
0.5,0.36,240.0,1.0,0.04,0.08,1.0,0.1,0.12
0.5,0.35000000000000003,240.0,1.0,0.04,0.04,1.0,0.12,0.12
0.5,0.34,240.0,1.0,0.06,0.08,1.0,0.18,0.22
0.5,0.33,240.0,1.0,0.02,0.06,1.0,0.24,0.2
0.5,0.32,240.0,1.0,0.08,0.06,1.0,0.32,0.2
0.5,0.31,240.0,1.0,0.06,0.02,1.0,0.2,0.14
0.5,0.3,240.0,1.0,0.08,0.12,1.0,0.44,0.42
0.5,0.29,240.0,1.0,0.14,0.04,1.0,0.4,0.34
0.5,0.28,240.0,1.0,0.04,0.0,1.0,0.56,0.48
0.5,0.27,240.0,1.0,0.06,0.08,1.0,0.4,0.38
0.5,0.26,240.0,1.0,0.08,0.04,1.0,0.5,0.4
0.5,0.25,240.0,1.0,0.0,0.06,1.0,0.6,0.52
0.5,0.5,235.0,1.0,0.04,0.08,1.0,0.04,0.08
0.5,0.49,235.0,1.0,0.04,0.08,1.0,0.04,0.08
0.5,0.48,235.0,1.0,0.04,0.06,1.0,0.04,0.06
0.5,0.47000000000000003,235.0,1.0,0.06,0.1,1.0,0.06,0.1
0.5,0.46,235.0,1.0,0.04,0.04,1.0,0.04,0.04
0.5,0.45,235.0,1.0,0.14,0.06,1.0,0.14,0.06
0.5,0.44,235.0,1.0,0.1,0.1,1.0,0.1,0.1
0.5,0.43,235.0,1.0,0.06,0.06,1.0,0.06,0.06
0.5,0.42,235.0,1.0,0.04,0.06,1.0,0.04,0.06
0.5,0.41000000000000003,235.0,1.0,0.1,0.02,1.0,0.1,0.02
0.5,0.4,235.0,1.0,0.04,0.06,1.0,0.04,0.06
0.5,0.39,235.0,1.0,0.0,0.04,1.0,0.0,0.04
0.5,0.38,235.0,1.0,0.02,0.02,1.0,0.04,0.04
0.5,0.37,235.0,1.0,0.06,0.04,1.0,0.08,0.04
0.5,0.36,235.0,1.0,0.04,0.04,1.0,0.14,0.12
0.5,0.35000000000000003,235.0,1.0,0.06,0.06,1.0,0.12,0.1
0.5,0.34,235.0,1.0,0.06,0.0,1.0,0.12,0.08
0.5,0.33,235.0,1.0,0.06,0.0,1.0,0.36,0.2
0.5,0.32,235.0,1.0,0.16,0.04,1.0,0.4,0.28
0.5,0.31,235.0,1.0,0.08,0.04,1.0,0.48,0.36
