m,mean_1,mean_2,var_1,var_2,mean_delta,var_delta,omni_precision_2_ks_2samp,omni_precision_2_mannwhitneyu,omni_precision_2_ttest_ind,omni_recall_2_ks_2samp,omni_recall_2_mannwhitneyu,omni_recall_2_ttest_ind,omni_precision_3_ks_2samp,omni_precision_3_mannwhitneyu,omni_precision_3_ttest_ind,omni_recall_3_ks_2samp,omni_recall_3_mannwhitneyu,omni_recall_3_ttest_ind,omni_precision_4_ks_2samp,omni_precision_4_mannwhitneyu,omni_precision_4_ttest_ind,omni_recall_4_ks_2samp,omni_recall_4_mannwhitneyu,omni_recall_4_ttest_ind,mase_precision_2_ks_2samp,mase_precision_2_mannwhitneyu,mase_precision_2_ttest_ind,mase_recall_2_ks_2samp,mase_recall_2_mannwhitneyu,mase_recall_2_ttest_ind,mase_precision_3_ks_2samp,mase_precision_3_mannwhitneyu,mase_precision_3_ttest_ind,mase_recall_3_ks_2samp,mase_recall_3_mannwhitneyu,mase_recall_3_ttest_ind,mase_precision_4_ks_2samp,mase_precision_4_mannwhitneyu,mase_precision_4_ttest_ind,mase_recall_4_ks_2samp,mase_recall_4_mannwhitneyu,mase_recall_4_ttest_ind
250,0,0,0.25,0.25,0.9,0,0.9329729729729729,0.8689189189189187,0.9259459459459458,1.0,1.0,1.0,0.8505639059486461,0.8001352215700591,0.861341549138082,1.0,1.0,1.0,0.6633479309711318,0.5645090862892786,0.6090910317317677,1.0,1.0,1.0,0.7350579150579154,0.6980308880308883,0.7415444015444018,1.0,1.0,1.0,0.9151813725490195,0.856038052940146,0.9445385154061624,1.0,1.0,1.0,0.7292156956076937,0.6753515841872373,0.7408845768444857,1.0,1.0,1.0
5,0,0,0.25,0.25,0.08,0,0.18315014157447163,0.2594343975315143,0.25626395948535885,0.3652000000000001,0.6524000000000001,0.6254,0.33621121772452073,0.3771829441183984,0.37174900367242125,0.42106666666666664,0.5528,0.5264666666666666,0.2974134359319091,0.3510308666015981,0.3407781988191562,0.28,0.46386666666666665,0.4025333333333333,0.21470202758968296,0.2388589293598281,0.2500250500848479,0.37866666666666654,0.6205333333333334,0.573,0.2441231451574371,0.2804966237511531,0.2868316374890291,0.3049333333333333,0.5201333333333334,0.4624000000000001,0.29875325233523053,0.30377472701831215,0.3039173272164695,0.256,0.4191333333333332,0.35119999999999996
250,0,0,0.25,0.25,0.7000000000000001,0,0.9429729729729729,0.8654054054054052,0.9529729729729729,1.0,1.0,1.0,0.8264025582968573,0.7865134470726616,0.8422612924271513,1.0,1.0,1.0,0.6534405031751421,0.5721074174033751,0.6184659127055606,1.0,1.0,1.0,0.694649751792609,0.630595697738555,0.704649751792609,1.0,1.0,1.0,0.9148396551555035,0.8633280546321889,0.9159433340852695,1.0,1.0,1.0,0.7571016413186368,0.7097768079632141,0.7660005779360958,0.9999333333333333,0.9999333333333333,0.9999333333333333
5,0,0,0.25,0.25,0.28,0,0.920679863321742,0.8871663498082285,0.920679863321742,0.9984000000000001,0.9984000000000001,0.9984000000000001,0.8926727416218896,0.7876266909565277,0.899321949711576,0.9994666666666667,0.9998666666666668,0.9998666666666668,0.8221475291643106,0.7455476881298914,0.804323216189124,0.9982000000000001,0.9984000000000001,0.9984000000000001,0.6425993105675012,0.6043515418002519,0.6379625047618641,0.9815333333333334,0.9863999999999998,0.9845333333333331,0.8752233697706613,0.8024351014009057,0.8513872751212496,0.9945999999999999,0.9968,0.9968,0.7628096837789893,0.6442806281255309,0.7101554370300207,0.9883333333333336,0.9962666666666667,0.9962666666666667
250,0,0,0.25,0.25,0.5,0,0.9294594594594594,0.9059459459459458,0.9564864864864865,1.0,1.0,1.0,0.9359333333333333,0.8295140653225443,0.880485960327423,1.0,1.0,1.0,0.6431482585869329,0.5922275956121251,0.6329494196418409,1.0,1.0,1.0,0.696238279095422,0.6862382790954221,0.7232653061224491,1.0,1.0,1.0,0.9250171826896536,0.8658685410871505,0.9402566437339815,1.0,1.0,1.0,0.6939605684810677,0.6677716125674888,0.7168985680165199,1.0,1.0,1.0
5,0,0,0.25,0.25,0.48,0,0.9564864864864865,0.8694594594594593,0.9529729729729729,1.0,1.0,1.0,0.9027648245384315,0.8290829626819967,0.9274476057458629,1.0,1.0,1.0,0.7727112705800137,0.6904998833621023,0.7430247981575547,0.9968,0.9997333333333333,0.9993333333333334,0.6720937870861067,0.6285802735725933,0.6720937870861067,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.8696276787560041,0.7908307691955417,0.887517635209751,0.9999333333333333,0.9999333333333333,0.9999333333333333,0.7588336446450559,0.6926353996325787,0.7526845594723632,0.9981333333333333,0.9987333333333334,0.9992666666666666
250,0,0,0.25,0.25,0.3,0,0.9094594594594594,0.8873303916161057,0.9529729729729729,1.0,1.0,1.0,0.9334878746161176,0.8912320507813465,0.9499150579150579,1.0,1.0,1.0,0.6724396071025059,0.602214243729851,0.6700530668065257,1.0,1.0,1.0,0.7115444015444017,0.7029288472145616,0.7550579150579152,1.0,1.0,1.0,0.8757791034552107,0.8687518838523399,0.9150365266566639,1.0,1.0,1.0,0.7355493159291783,0.6850180921357303,0.7535125591014641,0.9997333333333333,0.9997333333333333,0.9997333333333333
5,0,0,0.25,0.25,0.68,0,0.9294594594594594,0.8303033645890788,0.8824324324324324,1.0,1.0,1.0,0.9264672844898962,0.802615530215737,0.8793627093264973,1.0,1.0,1.0,0.7237051292291643,0.6635472570355109,0.7331412768154613,0.9993333333333334,0.9993333333333334,0.9993333333333334,0.7280308880308881,0.671003861003861,0.6845173745173746,1.0,1.0,1.0,0.9107800183894098,0.8184873129288881,0.8675871826965741,0.9999333333333333,1.0,1.0,0.7242416815479635,0.6689002861693193,0.7285879440283292,0.9997333333333333,0.9997333333333333,0.9997333333333333
250,0,0,0.25,0.25,0.1,0,0.9294594594594594,0.8552013237727522,0.9259459459459458,1.0,1.0,1.0,0.9022140618002689,0.8900592379470331,0.9266372856352574,0.9998666666666667,1.0,1.0,0.7252801415044796,0.6690062366717,0.7377306032232552,0.9994000000000001,0.9995333333333335,0.9995333333333335,0.7116192373458492,0.654388128686169,0.6981057238323356,1.0,1.0,1.0,0.9158398344484361,0.8525142704155607,0.9088268375476767,1.0,1.0,1.0,0.7785945259057,0.7181343097931322,0.7583603023694142,0.9978666666666668,0.9997333333333333,0.9997333333333333
5,0,0,0.25,0.25,0.88,0,0.9494594594594595,0.9294594594594594,0.9664864864864865,1.0,1.0,1.0,0.9120454615030062,0.8749517907960633,0.9539365079365081,1.0,1.0,1.0,0.6423814893830333,0.57516879053391,0.6516891260937434,0.9981333333333333,0.9987999999999999,0.9987999999999999,0.7027247655819086,0.6827247655819086,0.7197517926089357,1.0,1.0,1.0,0.890723722212404,0.8501803101891224,0.9290490331232019,1.0,1.0,1.0,0.7291460394636593,0.659325498297977,0.7139184731876479,0.9998,0.9987999999999999,0.9998
245,0,0,0.25,0.25,0.92,0,0.9629729729729729,0.8989189189189188,0.9529729729729729,1.0,1.0,1.0,0.8784889465793142,0.7912025396465142,0.8805369824073582,1.0,1.0,1.0,0.6585104522457879,0.5662657391953058,0.6084984241792568,1.0,1.0,1.0,0.7515444015444017,0.711003861003861,0.7650579150579152,1.0,1.0,1.0,0.9439703881552621,0.8775644832989659,0.9053628026266971,1.0,1.0,1.0,0.7265478790379885,0.6437638089410818,0.7265982720066407,1.0,1.0,1.0
10,0,0,0.25,0.25,0.06,0,0.2673498642582467,0.300002646882847,0.2953400374969266,0.4520666666666666,0.6214,0.616,0.36783321893827337,0.39472644057418266,0.4179133414201459,0.40626666666666655,0.5787333333333332,0.5307333333333333,0.29578262214523376,0.375679344513444,0.3926226813154215,0.2945333333333333,0.5029333333333335,0.4575999999999999,0.22429438125024628,0.2452743531721542,0.23729204858184957,0.43226666666666674,0.6164666666666666,0.5997999999999999,0.22565680357649862,0.2897418441993775,0.2689327819837482,0.3091333333333333,0.5027333333333331,0.4707333333333334,0.26384093740761144,0.2715826207516979,0.2755252855421255,0.26526666666666676,0.42033333333333334,0.36966666666666675
245,0,0,0.25,0.25,0.72,0,0.9259459459459458,0.8448648648648647,0.8854054054054052,1.0,1.0,1.0,0.9099887090754427,0.814107419999687,0.8625400533234278,1.0,1.0,1.0,0.6422440232314838,0.5638895292458111,0.6199005247952962,1.0,1.0,1.0,0.7833370104798676,0.7157694429123,0.7563099834528405,1.0,1.0,1.0,0.9343814997263273,0.8230948713102871,0.9048966512414789,1.0,1.0,1.0,0.777601292146916,0.6675680977801352,0.7495171926017581,1.0,1.0,1.0
10,0,0,0.25,0.25,0.26,0,0.9164864864864865,0.8624324324324324,0.9264864864864865,1.0,1.0,1.0,0.9052333753697833,0.8385445587461022,0.9001837209213535,0.9997333333333333,1.0,0.9997333333333333,0.7954342153513921,0.7234609973586638,0.7756677299581543,0.9947333333333332,0.9964,0.9963333333333333,0.6751664704625528,0.63060216376617,0.6811427043067104,0.9940666666666667,0.9964666666666667,0.9964666666666667,0.8966549465204895,0.8181560929811151,0.8845783775084448,1.0,1.0,1.0,0.7333710588347188,0.644373763980552,0.7056747521570625,0.9936000000000001,0.9987333333333335,0.9996666666666668
245,0,0,0.25,0.25,0.52,0,0.97,0.902972972972973,0.9129729729729729,1.0,1.0,1.0,0.9559934426229509,0.8963334088342642,0.9160159485168039,1.0,1.0,1.0,0.7184417033485073,0.6492132542161448,0.7065135124413118,1.0,1.0,1.0,0.7908461921353909,0.7453765688352155,0.7473326786218774,1.0,1.0,1.0,0.9371777672223703,0.8658134366635317,0.9247302147748178,1.0,1.0,1.0,0.7631275859345981,0.6784987797779913,0.735851637162675,1.0,1.0,1.0
10,0,0,0.25,0.25,0.46,0,0.9629729729729729,0.8789189189189187,0.9159459459459458,1.0,1.0,1.0,0.9441956440396767,0.8551978239769,0.9144020503748057,1.0,1.0,1.0,0.7147357487440803,0.6299396330104687,0.6784398380232637,0.9965333333333334,1.0,0.9997999999999999,0.7255490205910374,0.6785219935640104,0.7155490205910374,1.0,1.0,1.0,0.8899244592646524,0.8143055791678349,0.8855486645439663,0.9998666666666668,0.9999333333333333,0.9999333333333333,0.744839503553462,0.6285826638963321,0.7176324121923604,0.9994,0.9999333333333333,0.9999333333333333
245,0,0,0.25,0.25,0.32,0,0.8989189189189187,0.8873303916161057,0.9124324324324323,1.0,1.0,1.0,0.888256191680874,0.8298483867563005,0.9129834644081467,1.0,1.0,1.0,0.6714165889259703,0.6519688168318639,0.6750860946960645,1.0,1.0,1.0,0.7069797161346457,0.7043132928847214,0.7094153337010479,0.9998,1.0,1.0,0.8917663688910267,0.859938407849704,0.9095478627594771,1.0,1.0,1.0,0.7238245469004593,0.6592474012145962,0.7203427061870755,0.9993333333333334,1.0,0.9996
