,Name,Hemisphere,Region
0,4493199,left,13a PN
1,8244823,right,13a PN
2,7865696,left,1a PN
3,8252067,right,1a PN
4,7865652,left,22c PN
5,8248631,right,22c PN
6,7198338,left,24a PN
7,8245869,right,24a PN
8,7916593,left,30a PN
9,8256186,right,30a PN
10,8021456,left,33a PN
11,13589251,right,33a PN
12,7934904,left,35a PN
13,7935088,right,35a PN
14,3486381,left,42a PN
15,8244723,right,42a PN
16,7873135,left,42b PN
17,8245692,right,42b PN
18,7852250,left,45a PN
19,8247451,right,45a PN
20,7107433,left,45b PN
21,8253413,right,45b PN
22,7092417,left,47a&33b PN
23,8246750,right,47a&33b PN
24,7515491,left,49a PN
25,11279244,right,49a PN
26,7864823,left,59a PN
27,8245014,right,59a PN
28,7845346,left,63a PN
29,16259595,left,67b PN
30,8246081,right,67b PN
31,7843730,left,74a PN
32,8140109,right,74a PN
33,7851153,left,82a PN
34,8245146,right,82a PN
35,7865767,left,83a PN
36,8243455,right,83a PN
37,4354933,left,85c PN
38,14604028,right,85c PN
39,8399890,left,94a&94b PN
40,4651929,right,94a&94b PN
41,15571194,left,APL
42,3234817,right,APL
43,17434825,left, Multiglomerular PN 4
44,16485079,right, Multiglomerular PN 4
45,16223537,left, MBON-c1
46,8980589,right, MBON-c1
47,17016974,left, MBON-m1
48,4022539,right, MBON-m1
49,16868923,left, MBON-o1
50,17013073,right, MBON-o1
51,11017761,left, MBON-p1
52,16178283,right, MBON-p1
53,15592096,left,DAN-c1
54,16240569,right,DAN-c1
55,3886356,left,DAN-d1
56,5966099,right,DAN-d1
57,7901791,left,DAN-f1
58,2506050,right,DAN-f1
59,4381377,left,DAN-g1
60,10673895,right,DAN-g1
61,7057894,left,DAN-i1
62,6611894,right,DAN-i1
63,4414163,left,DAN-j1
64,4414184,right,DAN-j1
65,12871993,left,DAN-k1
66,4884579,right,DAN-k1
67,11333054,left,Gustatory PN 1
68,17884299,right,Gustatory PN 1
69,3709977,left,Gustatory PN 2
70,13789482,right,Gustatory PN 2
71,12156009,left,Gustatory PN 3
72,7020344,right,Gustatory PN 3
73,11067379,left,Gustatory PN 4
74,4393049,right,Gustatory PN 4
75,8245513,right,63a PN
76,29,right,KC #0
77,11691640,left,no pair
78,14255342,left,no pair
79,15691114,left,no pair
80,15722306,left,no pair
81,16627950,left,no pair
82,8318678,left,no pair
83,11785627,left,no pair
84,12217572,left,no pair
85,14319960,left,no pair
86,14460113,left,no pair
87,14519048,left,no pair
88,14522124,left,no pair
89,14898295,left,no pair
90,15721919,left,no pair
91,15734988,left,no pair
92,15861524,left,no pair
93,16015738,left,no pair
94,16017113,left,no pair
95,16210988,left,no pair
96,16435965,left,no pair
97,16438190,left,no pair
98,16440649,left,no pair
99,16440704,left,no pair
100,16444327,left,no pair
101,16627773,left,no pair
102,16627861,left,no pair
103,16629757,left,no pair
104,16629931,left,no pair
105,16630024,left,no pair
106,16630385,left,no pair
107,16631222,left,no pair
108,16631248,left,no pair
109,17147410,left,no pair
110,3819157,left,no pair
111,3819171,left,no pair
112,4134539,left,no pair
113,4411505,left,no pair
114,4412036,left,no pair
115,4518546,left,no pair
116,6702830,left,no pair
117,8177991,left,no pair
118,8248706,left,no pair
119,8262503,left,KC no pair
120,8263140,left,KC no pair
121,8263285,left,KC no pair
122,8393981,left,no pair
123,8513389,left,no pair
124,8864096,left,no pair
125,8865199,left,no pair
126,9983191,left,no pair
127,15691118,left,no pair
128,10455234,left,no pair
129,15764960,left,no pair
130,15788431,left,no pair
131,16220042,left,no pair
