,Test,Effect_Size,n,Weighting,Simulation,power,power_stderr
720,MWW,0.0,56,Weighted,SBM,0.07,0.0025514701644346145
721,PT,0.0,56,Weighted,SBM,0.07,0.0025514701644346145
722,WT,0.0,56,Weighted,SBM,0.03,0.001705872210923198
723,MWW,0.111,56,Weighted,SBM,0.23,0.004208325082500163
724,PT,0.111,56,Weighted,SBM,0.14,0.0034698703145794947
725,WT,0.111,56,Weighted,SBM,0.25,0.004330127018922193
726,MWW,0.222,56,Weighted,SBM,0.72,0.004489988864128728
727,PT,0.222,56,Weighted,SBM,0.49,0.0049989998999799955
728,WT,0.222,56,Weighted,SBM,0.76,0.004270831300812525
729,MWW,0.333,56,Weighted,SBM,0.94,0.0023748684174075834
730,PT,0.333,56,Weighted,SBM,0.83,0.00375632799419859
731,WT,0.333,56,Weighted,SBM,0.96,0.0019595917942265427
732,MWW,0.444,56,Weighted,SBM,1.0,0.0
733,PT,0.444,56,Weighted,SBM,0.99,0.00099498743710662
734,WT,0.444,56,Weighted,SBM,1.0,0.0
735,MWW,0.556,56,Weighted,SBM,1.0,0.0
736,PT,0.556,56,Weighted,SBM,1.0,0.0
737,WT,0.556,56,Weighted,SBM,1.0,0.0
738,MWW,0.667,56,Weighted,SBM,1.0,0.0
739,PT,0.667,56,Weighted,SBM,1.0,0.0
740,WT,0.667,56,Weighted,SBM,1.0,0.0
741,MWW,0.778,56,Weighted,SBM,1.0,0.0
742,PT,0.778,56,Weighted,SBM,1.0,0.0
743,WT,0.778,56,Weighted,SBM,1.0,0.0
744,MWW,0.889,56,Weighted,SBM,1.0,0.0
745,PT,0.889,56,Weighted,SBM,1.0,0.0
746,WT,0.889,56,Weighted,SBM,1.0,0.0
747,MWW,1.0,56,Weighted,SBM,1.0,0.0
748,PT,1.0,56,Weighted,SBM,1.0,0.0
749,WT,1.0,56,Weighted,SBM,1.0,0.0
1620,MWW,0.0,56,Weighted,SIEM,0.05,0.0021794494717703367
1621,PT,0.0,56,Weighted,SIEM,0.05,0.0021794494717703367
1622,WT,0.0,56,Weighted,SIEM,0.05,0.0021794494717703367
1623,MWW,0.111,56,Weighted,SIEM,0.06,0.0023748684174075834
1624,PT,0.111,56,Weighted,SIEM,0.05,0.0021794494717703367
1625,WT,0.111,56,Weighted,SIEM,0.05,0.0021794494717703367
1626,MWW,0.222,56,Weighted,SIEM,0.18,0.0038418745424597094
1627,PT,0.222,56,Weighted,SIEM,0.11,0.0031288975694324034
1628,WT,0.222,56,Weighted,SIEM,0.21,0.004073082370883261
1629,MWW,0.333,56,Weighted,SIEM,0.27,0.0044395945760846225
1630,PT,0.333,56,Weighted,SIEM,0.2,0.004
1631,WT,0.333,56,Weighted,SIEM,0.28,0.004489988864128729
1632,MWW,0.444,56,Weighted,SIEM,0.56,0.004963869458396343
1633,PT,0.444,56,Weighted,SIEM,0.32,0.004664761515876239
1634,WT,0.444,56,Weighted,SIEM,0.55,0.004974937185533099
1635,MWW,0.556,56,Weighted,SIEM,0.73,0.0044395945760846225
1636,PT,0.556,56,Weighted,SIEM,0.62,0.004853864439804639
1637,WT,0.556,56,Weighted,SIEM,0.73,0.0044395945760846225
1638,MWW,0.667,56,Weighted,SIEM,0.87,0.0033630343441600472
1639,PT,0.667,56,Weighted,SIEM,0.73,0.0044395945760846225
1640,WT,0.667,56,Weighted,SIEM,0.84,0.0036660605559646724
1641,MWW,0.778,56,Weighted,SIEM,0.91,0.002861817604250837
1642,PT,0.778,56,Weighted,SIEM,0.79,0.004073082370883261
1643,WT,0.778,56,Weighted,SIEM,0.92,0.002712931993250107
1644,MWW,0.889,56,Weighted,SIEM,0.96,0.0019595917942265423
1645,PT,0.889,56,Weighted,SIEM,0.91,0.002861817604250837
1646,WT,0.889,56,Weighted,SIEM,0.97,0.0017058722109231984
1647,MWW,1.0,56,Weighted,SIEM,1.0,0.0
1648,PT,1.0,56,Weighted,SIEM,0.94,0.0023748684174075834
1649,WT,1.0,56,Weighted,SIEM,1.0,0.0
1920,MWW,0.0,56,Weighted,SSBM,0.03,0.001705872210923198
1921,PT,0.0,56,Weighted,SSBM,0.05,0.0021794494717703367
1922,WT,0.0,56,Weighted,SSBM,0.05,0.0021794494717703367
1923,MWW,0.111,56,Weighted,SSBM,0.05,0.0021794494717703367
1924,PT,0.111,56,Weighted,SSBM,0.03,0.0017058722109231984
1925,WT,0.111,56,Weighted,SSBM,0.06,0.0023748684174075834
1926,MWW,0.222,56,Weighted,SSBM,0.06,0.0023748684174075834
1927,PT,0.222,56,Weighted,SSBM,0.06,0.002374868417407584
1928,WT,0.222,56,Weighted,SSBM,0.05,0.0021794494717703367
1929,MWW,0.333,56,Weighted,SSBM,0.1,0.003
1930,PT,0.333,56,Weighted,SSBM,0.08,0.002712931993250107
1931,WT,0.333,56,Weighted,SSBM,0.1,0.003
1932,MWW,0.444,56,Weighted,SSBM,0.37,0.004828043081829324
1933,PT,0.444,56,Weighted,SSBM,0.24,0.004270831300812525
1934,WT,0.444,56,Weighted,SSBM,0.35,0.004769696007084727
1935,MWW,0.556,56,Weighted,SSBM,0.65,0.004769696007084728
1936,PT,0.556,56,Weighted,SSBM,0.55,0.0049749371855331
1937,WT,0.556,56,Weighted,SSBM,0.6,0.004898979485566356
1938,MWW,0.667,56,Weighted,SSBM,0.94,0.0023748684174075834
1939,PT,0.667,56,Weighted,SSBM,0.79,0.004073082370883261
1940,WT,0.667,56,Weighted,SSBM,0.94,0.0023748684174075834
1941,MWW,0.778,56,Weighted,SSBM,1.0,0.0
1942,PT,0.778,56,Weighted,SSBM,0.97,0.0017058722109231984
1943,WT,0.778,56,Weighted,SSBM,0.99,0.00099498743710662
1944,MWW,0.889,56,Weighted,SSBM,1.0,0.0
1945,PT,0.889,56,Weighted,SSBM,1.0,0.0
1946,WT,0.889,56,Weighted,SSBM,1.0,0.0
1947,MWW,1.0,56,Weighted,SSBM,1.0,0.0
1948,PT,1.0,56,Weighted,SSBM,1.0,0.0
1949,WT,1.0,56,Weighted,SSBM,1.0,0.0
2820,MWW,0.0,56,Weighted,oSBM,0.07,0.0025514701644346145
2821,PT,0.0,56,Weighted,oSBM,0.05,0.0021794494717703367
2822,WT,0.0,56,Weighted,oSBM,0.07,0.0025514701644346145
2823,MWW,0.111,56,Weighted,oSBM,0.17,0.00375632799419859
2824,PT,0.111,56,Weighted,oSBM,0.19,0.003923009049186606
2825,WT,0.111,56,Weighted,oSBM,0.08,0.002712931993250107
2826,MWW,0.222,56,Weighted,oSBM,0.32,0.004664761515876239
2827,PT,0.222,56,Weighted,oSBM,0.35,0.004769696007084728
2828,WT,0.222,56,Weighted,oSBM,0.12,0.0032496153618543845
2829,MWW,0.333,56,Weighted,oSBM,0.59,0.004918333050943174
2830,PT,0.333,56,Weighted,oSBM,0.61,0.0048774993593028795
2831,WT,0.333,56,Weighted,oSBM,0.26,0.004386342439892262
2832,MWW,0.444,56,Weighted,oSBM,0.81,0.003923009049186606
2833,PT,0.444,56,Weighted,oSBM,0.86,0.0034698703145794947
2834,WT,0.444,56,Weighted,oSBM,0.34,0.004737087712930804
2835,MWW,0.556,56,Weighted,oSBM,0.93,0.002551470164434615
2836,PT,0.556,56,Weighted,oSBM,0.94,0.0023748684174075834
2837,WT,0.556,56,Weighted,oSBM,0.45,0.004974937185533101
2838,MWW,0.667,56,Weighted,oSBM,0.99,0.00099498743710662
2839,PT,0.667,56,Weighted,oSBM,1.0,0.0
2840,WT,0.667,56,Weighted,oSBM,0.63,0.004828043081829324
2841,MWW,0.778,56,Weighted,oSBM,1.0,0.0
2842,PT,0.778,56,Weighted,oSBM,1.0,0.0
2843,WT,0.778,56,Weighted,oSBM,0.68,0.00466476151587624
2844,MWW,0.889,56,Weighted,oSBM,1.0,0.0
2845,PT,0.889,56,Weighted,oSBM,1.0,0.0
2846,WT,0.889,56,Weighted,oSBM,0.84,0.0036660605559646724
2847,MWW,1.0,56,Weighted,oSBM,1.0,0.0
2848,PT,1.0,56,Weighted,oSBM,1.0,0.0
2849,WT,1.0,56,Weighted,oSBM,0.84,0.0036660605559646724
